candidate_id,rank,score,reasoning
CAND_0041669,11,0.6942,"A standout profile for the AI engineering role. Having progressed from Search Engineer at Mad Street Den to Recommendation Systems Engineer at CRED, this candidate brings 8.0 years with hands-on proficiency in Milvus, PEFT and Semantic Search. Direct experience with FAISS and Milvus satisfies the primary technical qualifications sought for this role. Worth noting: notice period exceeds ideal 30 days (60d)."
CAND_0036184,12,0.6818,"Embodies the precise skill set required for the founding team. Having progressed from AI Engineer at PolicyBazaar to Recommendation Systems Engineer at CRED, this candidate brings 6.0 years excelling in QLoRA, FAISS and Hugging Face Transformers. Direct experience with FAISS and Hugging Face Transformers aligns precisely with the JD's core technical requirements. Consistently strong signals across technical and behavioral axes."
CAND_0007460,13,0.6749,"Closely matches the ideal Senior AI Engineer archetype. AI Engineer with 4.7 years of experience, demonstrating LangChain, PEFT and Weaviate. Direct experience with Weaviate and Information Retrieval is a direct match for the project's technical stack. Key consideration: extended availability timeline (120 days)."
CAND_0088025,14,0.6605,"An elite-caliber profile for the founding AI team. Staff Machine Learning Engineer (8.6y experience) who has reduced the average time-to-shortlist by 38%, with core strengths in QLoRA, Hugging Face Transformers and RAG. Direct experience with Pinecone and Hugging Face Transformers provides the specific domain expertise needed for this position. Potential friction: availability is 90 days out."
CAND_0060054,15,0.6424,"A standout profile for the AI engineering role. AI Engineer with 6.4 years of experience, exhibiting mastery of TensorFlow, Prompt Engineering and Semantic Search, with product company experience. Direct experience with TensorFlow and Weaviate is a direct match for the project's technical stack. Clean profile with no disqualifying factors detected."
CAND_0062247,16,0.6376,"Highly engaged AI Engineer (78% response rate) with 7.3 years of experience, with proven expertise in Pinecone, Qdrant and Hugging Face Transformers. A capable candidate with relevant technical depth. No significant concerns identified for this candidacy."
CAND_0086022,17,0.6353,"Having progressed from Senior ML Engineer — Search & Ranking at Uber to Senior Applied Scientist at Sarvam AI, this candidate brings 5.3 years demonstrating Fine-tuning LLMs, Pinecone and PyTorch. Meets the principal technical requirements for this role. Strong alignment across all evaluated dimensions."
CAND_0049896,18,0.6259,"Search Engineer with 7.3 years of experience, excelling in LangChain, LlamaIndex and Information Retrieval. Observation: 90-day timeline before joining."
CAND_0004402,19,0.6156,"With 6.0 years of experience exhibiting mastery of PEFT, PyTorch and Learning to Rank, this AI Research Engineer has progressed from Data Scientist at Zomato to AI Research Engineer at Yellow.ai. Area of attention: notice period exceeds ideal 30 days (60d)."
CAND_0039754,20,0.5892,"With 16.2 years of experience bringing strong competency in Fine-tuning LLMs, Qdrant and NLP, this Senior Applied Scientist has progressed from Senior ML Engineer — Search & Ranking at Apple to Senior Applied Scientist at Meta. Well-positioned for the Senior AI Engineer opening. Profile presents no notable risk factors."
CAND_0064904,21,0.5890,"Highly engaged AI Engineer (78% response rate) with 4.9 years of experience, with hands-on proficiency in Prompt Engineering, TensorFlow and Hugging Face Transformers. Flag: moderate 90-day notice period."
CAND_0081846,22,0.5863,"Having progressed from Senior Machine Learning Engineer at Paytm to Lead AI Engineer at Razorpay, this candidate brings 6.7 years with proven expertise in Information Retrieval, Learning to Rank and Recommendation Systems. Meets the principal technical requirements for this role. Consistently strong signals across technical and behavioral axes."
CAND_0032216,23,0.5766,"ML Engineer with 6.1 years of experience, with demonstrated capability in Learning to Rank, Information Retrieval and PyTorch. Well-positioned for the Senior AI Engineer opening. Profile presents no notable risk factors."
CAND_0093193,24,0.5718,"A 7.9-year veteran Senior Machine Learning Engineer demonstrating Ranking Systems, TensorFlow and Information Retrieval Systems. Flag: requires 45 days to join."
CAND_0098780,25,0.5607,"A 5.9-year veteran AI Research Engineer exhibiting mastery of Semantic Search, Feature Engineering and Weaviate. Risk factor: notice period exceeds ideal 30 days (60d)."
CAND_0033179,26,0.5393,"A 6.9-year veteran AI Research Engineer exhibiting mastery of scikit-learn, Fine-tuning LLMs and Information Retrieval. Strong foundational alignment with the JD's priorities. Strong alignment across all evaluated dimensions."
CAND_0017590,27,0.5335,"With 5.1 years of experience excelling in Computer Vision, FAISS and TensorFlow, this AI Research Engineer has progressed from Computer Vision Engineer at Vedantu to AI Research Engineer at Genpact AI. Key consideration: 45-day notice period (sub-30 preferred)."
CAND_0058575,28,0.5277,"A 5.8-year veteran AI Engineer with demonstrated capability in Recommendation Systems, Pinecone and PyTorch. Key consideration: 90-day timeline before joining."
CAND_0066376,29,0.5131,"With 5.7 years of experience exhibiting mastery of LoRA, Learning to Rank and Deep Learning, this Applied ML Engineer has progressed from Senior Data Scientist at Salesforce to Applied ML Engineer at Dream11. Potential friction: moderate 90-day notice period."
CAND_0002344,30,0.5073,"A 4.7-year veteran Senior Software Engineer (ML) with hands-on proficiency in TensorFlow, Image Classification and Feature Engineering. Key consideration: 120-day notice period poses scheduling friction."
CAND_0007567,31,0.5030,"Having progressed from AI Specialist at PolicyBazaar to AI Specialist at Niramai, this candidate brings 6.1 years showcasing Fine-tuning LLMs, Prompt Engineering and PyTorch. Point of caution: notice period exceeds ideal 30 days (60d)."
CAND_0074735,32,0.4982,"Applied ML Engineer with 5.5 years of experience, showcasing RAG, Prompt Engineering and LlamaIndex, with product company experience. Observation: moderate 90-day notice period."
CAND_0001610,33,0.4941,"Machine Learning Engineer (3.0y experience) who has improved 7-day retention by 6%, with core strengths in Deep Learning, Pinecone and scikit-learn. Risk factor: 90-day timeline before joining."
CAND_0053591,34,0.4839,"A 5.3-year veteran AI Engineer leveraging deep experience in Sentence Transformers, Qdrant and LangChain. Worth noting: 60-day notice period (sub-30 preferred); based outside India (Toronto)."
CAND_0064326,35,0.4834,"Search Engineer with 7.6 years of experience, leveraging deep experience in PyTorch, Deep Learning and Weaviate, with product company experience. Worth noting: 45-day notice period (sub-30 preferred)."
CAND_0096142,36,0.4810,"Applied ML Engineer with 5.0 years of experience, leveraging deep experience in Pinecone, NLP and Hugging Face Transformers, with product company experience. Potential friction: lengthy notice period of 120 days."
CAND_0047721,37,0.4790,"Having progressed from NLP Engineer at Observe.AI to Senior Data Scientist at Microsoft, this candidate brings 7.0 years showcasing Learning to Rank, Information Retrieval and Qdrant. Primary gap: 90-day timeline before joining."
CAND_0030031,38,0.4776,"AI Engineer (5.7y experience) who has improved 7-day retention by 6%, with core strengths in NLP, RAG and LoRA. Well-positioned for the Senior AI Engineer opening. Profile presents no notable risk factors."
CAND_0096172,39,0.4699,"With 5.2 years of experience leveraging deep experience in Semantic Search, LangChain and RAG, this NLP Engineer has progressed from Machine Learning Engineer at Dream11 to NLP Engineer at Krutrim. Flag: notice period exceeds ideal 30 days (45d)."
CAND_0043958,40,0.4661,"AI Research Engineer with 6.7 years of experience, excelling in Sentence Transformers, FAISS and Hugging Face Transformers, with product company experience. Risk factor: 120-day notice period poses scheduling friction; not in a JD-preferred metro (Bhubaneswar, Odisha)."
CAND_0095528,41,0.4655,"Senior Data Scientist with 5.3 years of experience, demonstrating PyTorch, Semantic Search and Qdrant, with product company experience. Potential friction: requires 45 days to join."
CAND_0041568,42,0.4641,"With 5.2 years of experience with hands-on proficiency in PEFT, Weaviate and TensorFlow, this Search Engineer has progressed from Senior Data Scientist at Salesforce to Search Engineer at Haptik. Notable concern: 90-day timeline before joining; based outside India (Sydney)."
CAND_0030827,43,0.4584,"With 5.4 years of experience bringing strong competency in Hugging Face Transformers, NLP and FAISS, this Senior Data Scientist has progressed from NLP Engineer at Glance to Senior Data Scientist at Freshworks. Notable concern: lengthy notice period of 120 days; based outside India (Singapore)."
CAND_0061175,44,0.4562,"With 6.7 years of experience leveraging deep experience in Milvus, Recommendation Systems and Qdrant, this AI Research Engineer has progressed from Junior ML Engineer at Mad Street Den to AI Research Engineer at Haptik. Key consideration: lengthy notice period of 120 days."
CAND_0008202,45,0.4519,"Senior Software Engineer (ML) with 5.7 years of experience, excelling in FAISS, Computer Vision and PyTorch. Key consideration: 60-day notice period (sub-30 preferred)."
CAND_0059017,46,0.4505,"Highly engaged AI Research Engineer (75% response rate) with 6.8 years of experience, excelling in Sentence Transformers, FAISS and TensorFlow. Area of attention: 90-day timeline before joining."
CAND_0051004,47,0.4411,"Senior Data Scientist with 4.7 years of experience, excelling in Qdrant, PEFT and Fine-tuning LLMs. Strong foundational alignment with the JD's priorities. Clean profile with no disqualifying factors detected."
CAND_0081563,48,0.4359,"ML Engineer with 6.9 years of experience, demonstrating Sentence Transformers, PyTorch and Pinecone. Point of caution: 60-day notice period (sub-30 preferred)."
CAND_0025640,49,0.4346,"Highly engaged AI Research Engineer (87% response rate) with 5.6 years of experience, with demonstrated capability in Semantic Search, FAISS and Recommendation Systems. Well-positioned for the Senior AI Engineer opening. No significant concerns identified for this candidacy."
CAND_0069773,50,0.4325,"AI Research Engineer with 6.0 years of experience, with proven expertise in Sentence Transformers, RAG and Learning to Rank, with product company experience. Limitation to consider: extended availability timeline (120 days); low recruiter response rate (28%)."
CAND_0020708,51,0.4307,"Highly engaged Search Engineer (84% response rate) with 4.2 years of experience, with proven expertise in Learning to Rank, LangChain and Fine-tuning LLMs. Competent profile, but lacks the elite differentiators of top-tier candidates."
CAND_0010257,52,0.4303,"Senior Data Scientist with 6.5 years of experience, demonstrating Milvus, TensorFlow and Qdrant, with product company experience. Pushed down the ranking by: 120-day notice period poses scheduling friction."
CAND_0046924,53,0.4297,"With 6.3 years of experience showcasing Feature Engineering, Computer Vision and Semantic Search, this Computer Vision Engineer has progressed from AI Research Engineer at TCS to Computer Vision Engineer at PharmEasy. Pushed down the ranking by: 120-day notice period poses scheduling friction."
CAND_0044855,54,0.4276,"Senior Data Scientist with 6.6 years of experience, with demonstrated capability in Learning to Rank, Information Retrieval and Pinecone. Lower placement reflects: notice period exceeds ideal 30 days (60d)."
CAND_0013393,55,0.4250,"ML Engineer with 5.3 years of experience, exhibiting mastery of Pinecone, Sentence Transformers and Computer Vision. Ranked lower due to: 60-day notice period (sub-30 preferred)."
CAND_0058146,56,0.4249,"With 5.1 years of experience with proven expertise in Recommendation Systems, Qdrant and Hugging Face Transformers, this AI Research Engineer has progressed from Senior Software Engineer (ML) at Flipkart to AI Research Engineer at PolicyBazaar. Rank impacted by: 45-day notice period (sub-30 preferred)."
CAND_0014440,57,0.4192,"Recommendation Systems Engineer (6.4y experience) who has improved revenue-per-search by 12%, with core strengths in Milvus, FAISS and Qdrant. Rank impacted by: 60-day notice period (sub-30 preferred)."
CAND_0033839,58,0.4119,"Having progressed from AI Research Engineer at Ola to AI Specialist at Rephrase.ai, this candidate brings 5.3 years with demonstrated capability in Weaviate, PyTorch and Deep Learning. Rank impacted by: moderate 90-day notice period."
CAND_0048509,59,0.4101,"AI Research Engineer with 4.2 years of experience, with hands-on proficiency in Learning to Rank, Pinecone and OpenCV, with product company experience. Pushed down the ranking by: moderate 90-day notice period."
CAND_0097896,60,0.4068,"AI Research Engineer with 4.8 years of experience, exhibiting mastery of Fine-tuning LLMs, Feature Engineering and Qdrant, with product company experience. Lower placement reflects: lengthy notice period of 120 days."
CAND_0009024,61,0.4045,"Search Engineer with 5.2 years of experience, with hands-on proficiency in PEFT, Recommendation Systems and LoRA. Meets the core job description but was surpassed by candidates with stronger AI-specific signals."
CAND_0070202,62,0.4020,"Machine Learning Engineer (5.1y experience) who has improved revenue-per-search by 12%, with core strengths in Qdrant, LoRA and Fine-tuning LLMs. Ranked lower due to: availability is 90 days out."
CAND_0098454,63,0.4016,"AI Specialist with 6.6 years of experience, leveraging deep experience in Feature Engineering, Weaviate and NLP, with product company experience. Fell in rank owing to: notice period exceeds ideal 30 days (60d)."
CAND_0016163,64,0.4000,"Highly engaged Applied ML Engineer (72% response rate) with 6.7 years of experience, with demonstrated capability in Weaviate, TensorFlow and Machine Learning. Fell in rank owing to: lengthy notice period of 120 days."
CAND_0070398,65,0.3998,"Having progressed from Applied ML Engineer at Uber to Machine Learning Engineer at Genpact AI, this candidate brings 7.2 years exhibiting mastery of RAG, FAISS and Information Retrieval. Fell in rank owing to: lengthy notice period of 120 days."
CAND_0081053,66,0.3997,"Having progressed from Machine Learning Engineer at Salesforce to NLP Engineer at Glance, this candidate brings 5.4 years bringing strong competency in LoRA, QLoRA and Machine Learning. Ranked lower due to: moderate 90-day notice period."
CAND_0096801,67,0.3952,"AI Research Engineer with 4.2 years of experience, exhibiting mastery of Weaviate, LangChain and FAISS. Satisfies fundamental requirements but faces stiff competition in the applicant pool."
CAND_0052328,68,0.3947,"Having progressed from Senior Data Scientist at Observe.AI to Recommendation Systems Engineer at Amazon, this candidate brings 6.5 years bringing strong competency in QLoRA, Learning to Rank and scikit-learn. Meets the core job description but was surpassed by candidates with stronger AI-specific signals."
CAND_0042100,69,0.3933,"Machine Learning Engineer with 7.3 years of experience, with hands-on proficiency in Learning to Rank, Recommendation Systems and Fine-tuning LLMs, with product company experience. Fell in rank owing to: 90-day timeline before joining; based outside India (Singapore)."
CAND_0009691,70,0.3829,"Applied ML Engineer (6.2y experience) who has improved 7-day retention by 6%, with core strengths in Recommendation Systems, Fine-tuning LLMs and LoRA. Fell in rank owing to: 120-day notice period poses scheduling friction."
CAND_0042506,71,0.3799,"Search Engineer with 4.2 years of experience, exhibiting mastery of PEFT, Fine-tuning LLMs and TensorFlow, with product company experience. Competent profile, but lacks the elite differentiators of top-tier candidates."
CAND_0090300,72,0.3761,"Having progressed from Computer Vision Engineer at HCL to AI Research Engineer at Dream11, this candidate brings 5.3 years with hands-on proficiency in Fine-tuning LLMs, Feature Engineering and Machine Learning. Lower placement reflects: 120-day notice period poses scheduling friction; based outside India (San Francisco)."
CAND_0002120,73,0.3732,"Having progressed from AI Specialist at BYJU'S to ML Engineer at HCL, this candidate brings 6.5 years showcasing RAG, Information Retrieval and Pinecone. Fell in rank owing to: requires 45 days to join; based outside India (Berlin)."
CAND_0015493,74,0.3722,"With 6.4 years of experience leveraging deep experience in Image Classification, scikit-learn and TensorFlow, this Data Scientist has progressed from Senior Software Engineer (ML) at Niramai to Data Scientist at CRED. Satisfies fundamental requirements but faces stiff competition in the applicant pool."
CAND_0016659,75,0.3694,"ML Engineer with 4.4 years of experience, excelling in Pinecone, Information Retrieval and Weaviate, with product company experience. Pushed down the ranking by: requires 45 days to join."
CAND_0092706,76,0.3661,"With 5.8 years of experience excelling in Sentence Transformers, Hugging Face Transformers and OpenCV, this AI Research Engineer has progressed from ML Engineer at Glance to AI Research Engineer at Unacademy. Ranked lower due to: lengthy notice period of 120 days."
CAND_0077285,77,0.3598,"A 5.5-year veteran Recommendation Systems Engineer demonstrating LoRA, Sentence Transformers and Information Retrieval. Pushed down the ranking by: notice period exceeds ideal 30 days (60d)."
CAND_0089552,78,0.3574,"Machine Learning Engineer with 6.0 years of experience, with demonstrated capability in TensorFlow, Qdrant and Fine-tuning LLMs. Rank impacted by: lengthy notice period of 120 days."
CAND_0039838,79,0.3456,"Having progressed from NLP Engineer at Microsoft to Recommendation Systems Engineer at Amazon, this candidate brings 4.9 years with proven expertise in LoRA, RAG and Milvus. Pushed down the ranking by: 90-day timeline before joining."
CAND_0005260,80,0.3328,"With 5.2 years of experience showcasing Semantic Search, Deep Learning and NLP, this Senior NLP Engineer has progressed from Senior NLP Engineer at Yellow.ai to Senior NLP Engineer at Netflix. Fell in rank owing to: 60-day notice period (sub-30 preferred)."
CAND_0091899,81,0.3175,"With 5.8 years of experience with proven expertise in Semantic Search, Computer Vision and Machine Learning, this Senior Software Engineer (ML) has progressed from AI Specialist at Verloop.io to Senior Software Engineer (ML) at PhonePe. Ranked lower due to: 60-day notice period (sub-30 preferred)."
CAND_0069905,82,0.3149,"With 6.6 years of experience with demonstrated capability in LoRA, Recommendation Systems and Sentence Transformers, this Applied ML Engineer has progressed from Machine Learning Engineer at Nykaa to Applied ML Engineer at Sarvam AI. Fell in rank owing to: 90-day timeline before joining; not in a JD-preferred metro (Bhubaneswar, Odisha)."
CAND_0083879,83,0.2937,"Machine Learning Engineer with 7.1 years of experience, bringing strong competency in Fine-tuning LLMs, scikit-learn and Hugging Face Transformers. Satisfies fundamental requirements but faces stiff competition in the applicant pool."
CAND_0057736,84,0.2867,"Highly engaged Computer Vision Engineer (92% response rate) with 6.2 years of experience, exhibiting mastery of Information Retrieval, Qdrant and NLP. Rank impacted by: moderate 90-day notice period."
CAND_0084819,85,0.2840,"Highly engaged Search Engineer (74% response rate) with 4.5 years of experience, showcasing Recommendation Systems, LlamaIndex and scikit-learn. Pushed down the ranking by: extended availability timeline (120 days)."
CAND_0033352,86,0.2736,"A 5.0-year veteran Computer Vision Engineer with hands-on proficiency in Sentence Transformers, Machine Learning and Hugging Face Transformers. Lower placement reflects: 60-day notice period (sub-30 preferred)."
CAND_0052827,87,0.2715,"With 5.9 years of experience with demonstrated capability in Semantic Search, RAG and NLP, this Data Scientist has progressed from Senior Software Engineer (ML) at CRED to Data Scientist at Genpact AI. Pushed down the ranking by: lengthy notice period of 120 days."
CAND_0083852,88,0.2652,"Having progressed from Computer Vision Engineer at Dream11 to Data Scientist at Mad Street Den, this candidate brings 6.0 years showcasing Pinecone, Sentence Transformers and Qdrant. Lower placement reflects: 90-day timeline before joining."
CAND_0065786,89,0.2544,"With 4.9 years of experience exhibiting mastery of Learning to Rank, Image Classification and Semantic Search, this AI Specialist has progressed from Junior ML Engineer at PhonePe to AI Specialist at Swiggy. Pushed down the ranking by: notice period exceeds ideal 30 days (45d)."
CAND_0054100,90,0.2411,"Junior ML Engineer with 6.0 years of experience, exhibiting mastery of Semantic Search, Deep Learning and Image Classification, with product company experience. Ranked lower due to: notice period exceeds ideal 30 days (60d)."
CAND_0043228,91,0.2402,"With 6.8 years of experience leveraging deep experience in NLP, Hugging Face Transformers and Sentence Transformers, this Applied ML Engineer has progressed from Applied ML Engineer at Vedantu to Applied ML Engineer at Zoho. Competent profile, but lacks the elite differentiators of top-tier candidates."
CAND_0029439,92,0.2296,"With 6.4 years of experience excelling in QLoRA, Feature Engineering and Qdrant, this AI Specialist has progressed from Senior Software Engineer (ML) at upGrad to AI Specialist at Mad Street Den. Rank impacted by: 60-day notice period (sub-30 preferred)."
CAND_0031703,93,0.2264,"With 6.8 years of experience leveraging deep experience in Object Detection, TensorFlow and NLP, this ML Engineer has progressed from Computer Vision Engineer at Razorpay to ML Engineer at PolicyBazaar. Pushed down the ranking by: extended availability timeline (120 days)."
CAND_0066035,94,0.2218,"Data Scientist with 6.7 years of experience, exhibiting mastery of Information Retrieval, NLP and Feature Engineering, with product company experience. Lower placement reflects: requires 45 days to join."
CAND_0093912,95,0.2196,"Senior Data Scientist with 5.3 years of experience, bringing strong competency in Milvus, Recommendation Systems and Learning to Rank, with product company experience. Meets the core job description but was surpassed by candidates with stronger AI-specific signals."
CAND_0076251,96,0.2195,"Search Engineer with 7.6 years of experience, exhibiting mastery of Hugging Face Transformers, Learning to Rank and PEFT. Lower placement reflects: requires 60 days to join; not in a JD-preferred metro (Bhubaneswar, Odisha)."
CAND_0026532,97,0.2142,"Recommendation Systems Engineer with 4.8 years of experience, with proven expertise in Semantic Search, Milvus and Prompt Engineering. Pushed down the ranking by: 90-day timeline before joining."
CAND_0093763,98,0.2099,"Highly engaged Senior Software Engineer (ML) (92% response rate) with 5.0 years of experience, with demonstrated capability in FAISS, Sentence Transformers and PyTorch. Lower placement reflects: moderate 90-day notice period."
CAND_0057701,99,0.2064,"Recommendation Systems Engineer with 4.1 years of experience, bringing strong competency in Prompt Engineering, Machine Learning and PEFT, with product company experience. Ranked lower due to: lengthy notice period of 120 days."
CAND_0032515,100,0.2000,"Machine Learning Engineer with 5.1 years of experience, leveraging deep experience in QLoRA, Fine-tuning LLMs and NLP, with product company experience. Pushed down the ranking by: 45-day notice period (sub-30 preferred); based outside India (Seattle)."
